ogr_appellation;rome_code;libelle_appellation_long;libelle_appellation_court
11987;A1101;Chauffeur / Chauffeuse de machines agricoles;Chauffeur / Chauffeuse de machines agricoles
12862;A1101;Conducteur / Conductrice d'abatteuses;Conducteur / Conductrice d'abatteuses
38874;A1101;Conducteur / Conductrice d'automoteur de récolte;Conducteur / Conductrice d'automoteur de récolte
13232;A1101;Conducteur / Conductrice de machines à vendanger;Conducteur / Conductrice de machines à vendanger
38878;A1101;Conducteur / Conductrice de matériels de semis;Conducteur / Conductrice de matériels de semis
38875;A1101;Conducteur / Conductrice de pulvérisateur;Conducteur / Conductrice de pulvérisateur
13197;A1101;Conducteur / Conductrice de tête d'abattage;Conducteur / Conductrice de tête d'abattage
13201;A1101;Conducteur / Conductrice de tracteur;Conducteur / Conductrice de tracteur
140877;A1101;Conducteur / Conductrice de tracteur enjambeur;Conducteur / Conductrice de tracteur enjambeur
38879;A1101;Conducteur / Conductrice de tracto-benne;Conducteur / Conductrice de tracto-benne
13248;A1101;Conducteur / Conductrice d'engins de débardage;Conducteur / Conductrice d'engins de débardage
13254;A1101;Conducteur / Conductrice d'engins d'exploitation agricole;Conducteur / Conductrice d'engins d'exploitation agricole
13255;A1101;Conducteur / Conductrice d'engins d'exploitation forestière;Conducteur / Conductrice d'engins d'exploitation forestière
13256;A1101;Conducteur / Conductrice d'engins forestiers;Conducteur / Conductrice d'engins forestiers
38877;A1101;Conducteur / Conductrice d'épareuse;Conducteur / Conductrice d'épareuse
13886;A1101;Débardeur / Débardeuse;Débardeur / Débardeuse
13887;A1101;Débardeur forestier / Débardeuse forestière;Débardeur forestier / Débardeuse forestière
17055;A1101;Opérateur / Opératrice d'abatteuse;Opérateur / Opératrice d'abatteuse
38876;A1101;Opérateur / Opératrice d'épandage;Opérateur / Opératrice d'épandage
17751;A1101;Pilote de machines d'abattage;Pilote de machines d'abattage
20404;A1101;Tractoriste agricole;Tractoriste agricole
20405;A1101;Tractoriste forestier / Tractoriste forestière;Tractoriste forestier / Tractoriste forestière
11105;A1201;Arboriste;Arboriste
11106;A1201;Arboriste grimpeur / grimpeuse;Arboriste grimpeur / grimpeuse
11606;A1201;Bûcheron / Bûcheronne;Bûcheron / Bûcheronne
11607;A1201;Bûcheron élagueur / Bûcheronne élagueuse;Bûcheron élagueur / Bûcheronne élagueuse
11740;A1201;Charbonnier / Charbonnière;Charbonnier / Charbonnière
12755;A1201;Commis / Commise de coupe;Commis / Commise de coupe
14607;A1201;Éhouppeur / Éhouppeuse;Éhouppeur / Éhouppeuse
14608;A1201;Élagueur / Élagueuse;Élagueur / Élagueuse
14609;A1201;Élagueur / Élagueuse espaces verts;Élagueur / Élagueuse espaces verts
14610;A1201;Élagueur-botteur / Élagueuse-botteuse;Élagueur-botteur / Élagueuse-botteuse
14611;A1201;Élagueur-grimpeur / Élagueuse-grimpeuse;Élagueur-grimpeur / Élagueuse-grimpeuse
15429;A1201;Grimpeur-élagueur / Grimpeuse-élagueuse;Grimpeur-élagueur / Grimpeuse-élagueuse
38435;A1201;Homme / Femme de pied;Homme / Femme de pied
17483;A1201;Ouvrier / Ouvrière d'exploitation forestière;Ouvrier / Ouvrière d'exploitation forestière
10382;A1202;Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt;Agent(e) aménagement des circuits pédestres, équestres, VTT
10383;A1202;Agent / Agente d'aménagement des haies et fossés;Agent / Agente d'aménagement des haies et fossés
10664;A1202;Agent / Agente d'entretien de la nature;Agent / Agente d'entretien de la nature
10667;A1202;Agent / Agente d'entretien de l'espace rural;Agent / Agente d'entretien de l'espace rural
10673;A1202;Agent / Agente d'entretien des espaces naturels;Agent / Agente d'entretien des espaces naturels
10677;A1202;Agent / Agente d'entretien des rivières;Agent / Agente d'entretien des rivières
10685;A1202;Agent / Agente d'entretien nature du littoral;Agent / Agente d'entretien nature du littoral
38323;A1202;Agent / Agente d'entretien nature et biodiversité;Agent / Agente d'entretien nature et biodiversité
12440;A1202;Chef d'équipe d'entretien d'espaces naturels;Chef d'équipe d'entretien d'espaces naturels
200080;A1202;Ouvrier / Ouvrière de génie écologique;Ouvrier / Ouvrière de génie écologique
17474;A1202;Ouvrier / Ouvrière d'entretien des espaces naturels;Ouvrier / Ouvrière d'entretien des espaces naturels
10675;A1203;Agent / Agente d'entretien des parcs et jardins;Agent / Agente d'entretien des parcs et jardins
38436;A1203;Aide jardinier / jardinière;Aide jardinier / jardinière
12439;A1203;Chef d'équipe d'entretien des espaces verts;Chef d'équipe d'entretien des espaces verts
12482;A1203;Chef d'équipe paysagiste;Chef d'équipe paysagiste
16067;A1203;Jardinier / Jardinière;Jardinier / Jardinière
16068;A1203;Jardinier / Jardinière d'espaces verts;Jardinier / Jardinière d'espaces verts
16069;A1203;Jardinier / Jardinière paysagiste;Jardinier / Jardinière paysagiste
38437;A1203;Manoeuvre des espaces verts;Manoeuvre des espaces verts
17475;A1203;Ouvrier / Ouvrière d'entretien des espaces verts;Ouvrier / Ouvrière d'entretien des espaces verts
17480;A1203;Ouvrier / Ouvrière des espaces verts;Ouvrier / Ouvrière des espaces verts
17487;A1203;Ouvrier / Ouvrière du paysage;Ouvrier / Ouvrière du paysage
17515;A1203;Ouvrier / Ouvrière paysagiste;Ouvrier / Ouvrière paysagiste
38077;A1203;Technicien / Technicienne paysagiste;Technicien / Technicienne paysagiste
10780;A1204;Agent / Agente technique des parcs nationaux;Agent / Agente technique des parcs nationaux
10358;A1204;Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel;Agent(e) chargé(e) protection, sauvegarde patrimoine naturel
14562;A1204;Eco garde;Eco garde
15195;A1204;Garde de parc naturel;Garde de parc naturel
15198;A1204;Garde du littoral;Garde du littoral
15199;A1204;Garde forestier / forestière;Garde forestier / forestière
15200;A1204;Garde moniteur / monitrice de parc national;Garde moniteur / monitrice de parc national
15201;A1204;Garde moniteur / monitrice de parc naturel;Garde moniteur / monitrice de parc naturel
15202;A1204;Garde national / nationale de la chasse et de la faune sauvage;Garde national/nationale de la chasse et de la faune sauvage
15204;A1204;Garde technicien / technicienne de réserve naturelle;Garde technicien / technicienne de réserve naturelle
15205;A1204;Garde-chasse;Garde-chasse
15206;A1204;Garde-chasse particulier / particulière;Garde-chasse particulier / particulière
15208;A1204;Garde-pêche;Garde-pêche
15210;A1204;Garde-rivière;Garde-rivière
200100;A1204;Observateur / Observatrice des pêches;Observateur / Observatrice des pêches
19706;A1204;Technicien / Technicienne cynégétique;Technicien / Technicienne cynégétique
38379;A1204;Technicien / Technicienne de rivière;Technicien / Technicienne de rivière
10514;A1205;Agent / Agente de maîtrise d'exploitation forestière;Agent / Agente de maîtrise d'exploitation forestière
10795;A1205;Agent technique forestier / Agente technique forestière;Agent technique forestier / Agente technique forestière
12136;A1205;Chef de district forestier;Chef de district forestier
38438;A1205;Chef d'équipe de travaux forestiers;Chef d'équipe de travaux forestiers
38439;A1205;Conducteur / Conductrice de travaux forestiers;Conducteur / Conductrice de travaux forestiers
13572;A1205;Contremaître / Contremaîtresse d'exploitation forestière;Contremaître / Contremaîtresse d'exploitation forestière
15010;A1205;Exploitant forestier / Exploitante forestière;Exploitant forestier / Exploitante forestière
15109;A1205;Forestier / Forestière;Forestier / Forestière
16353;A1205;Manoeuvre forestier / forestière;Manoeuvre forestier / forestière
17502;A1205;Ouvrier forestier / Ouvrière forestière;Ouvrier forestier / Ouvrière forestière
17536;A1205;Ouvrier sylvicole / Ouvrière sylvicole;Ouvrier sylvicole / Ouvrière sylvicole
17537;A1205;Ouvrier sylviculteur / Ouvrière sylvicultrice;Ouvrier sylviculteur / Ouvrière sylvicutrice
17889;A1205;Populiculteur / Populicultrice;Populiculteur / Populicultrice
19606;A1205;Sylviculteur / Sylvicultrice;Sylviculteur / Sylvicultrice
10972;A1301;Animateur / Animatrice agricole;Animateur / Animatrice agricole
11050;A1301;Animateur / Animatrice d'organismes agricoles;Animateur / Animatrice d'organismes agricoles
13350;A1301;Conseiller / Conseillère agricole;Conseiller / Conseillère agricole
13386;A1301;Conseiller / Conseillère d'agriculture;Conseiller / Conseillère d'agriculture
13388;A1301;Conseiller / Conseillère de gestion agricole;Conseiller / Conseillère de gestion agricole
13395;A1301;Conseiller / Conseillère d'élevage en production laitière;Conseiller / Conseillère d'élevage en production laitière
38324;A1301;Conseiller / Conseillère en génie climatique agricole;Conseiller / Conseillère en génie climatique agricole
13439;A1301;Conseiller / Conseillère en irrigation;Conseiller / Conseillère en irrigation
13440;A1301;Conseiller / Conseillère en machinisme agricole;Conseiller / Conseillère en machinisme agricole
13481;A1301;Conseiller / Conseillère technique agricole;Conseiller / Conseillère technique agricole
13496;A1301;Conseiller / Conseillère viticole;Conseiller / Conseillère viticole
13459;A1301;Conseiller forestier / Conseillère forestière;Conseiller forestier / Conseillère forestière
15498;A1301;Hydraulicien / Hydraulicienne en agriculture;Hydraulicien / Hydraulicienne en agriculture
19657;A1301;Technicien / Technicienne arboricole;Technicien / Technicienne arboricole
19667;A1301;Technicien / Technicienne avicole;Technicien / Technicienne avicole
19670;A1301;Technicien / Technicienne bâtiments d'élevage;Technicien / Technicienne bâtiments d'élevage
19679;A1301;Technicien / Technicienne bovin;Technicien / Technicienne bovin
19683;A1301;Technicien / Technicienne caprin;Technicien / Technicienne caprin
19705;A1301;Technicien / Technicienne cunicole;Technicien / Technicienne cunicole
19709;A1301;Technicien / Technicienne d'agriculture;Technicien / Technicienne d'agriculture
19743;A1301;Technicien / Technicienne de culture maraîchère;Technicien / Technicienne de culture maraîchère
200083;A1301;Technicien / Technicienne de génie écologique;Technicien / Technicienne de génie écologique
19875;A1301;Technicien / Technicienne de maintenance végétale;Technicien / Technicienne de maintenance végétale
19900;A1301;Technicien / Technicienne de production animale;Technicien / Technicienne de production animale
19932;A1301;Technicien / Technicienne d'élevage;Technicien / Technicienne d'élevage
19953;A1301;Technicien / Technicienne des travaux forestiers;Technicien / Technicienne des travaux forestiers
19968;A1301;Technicien / Technicienne d'expérimentation;Technicien / Technicienne d'expérimentation
20019;A1301;Technicien / Technicienne du génie rural;Technicien / Technicienne du génie rural
20020;A1301;Technicien / Technicienne du génie sanitaire et environnement;Technicien/Technicienne du génie sanitaire et environnement
20036;A1301;Technicien / Technicienne en agriculture biologique;Technicien / Technicienne en agriculture biologique
20037;A1301;Technicien / Technicienne en alimentation animale;Technicien / Technicienne en alimentation animale
20066;A1301;Technicien / Technicienne en fabrication fromagère;Technicien / Technicienne en fabrication fromagère
20135;A1301;Technicien / Technicienne équin;Technicien / Technicienne équin
20165;A1301;Technicien / Technicienne horticole;Technicien / Technicienne horticole
20207;A1301;Technicien / Technicienne ovin;Technicien / Technicienne ovin
20218;A1301;Technicien / Technicienne porcin;Technicien / Technicienne porcin
20252;A1301;Technicien / Technicienne semences;Technicien / Technicienne semences
20286;A1301;Technicien / Technicienne viticole;Technicien / Technicienne viticole
20147;A1301;Technicien foncier / Technicienne foncière;Technicien foncier / Technicienne foncière
20148;A1301;Technicien foncier / Technicienne foncière en agriculture;Technicien foncier / Technicienne foncière en agriculture
20149;A1301;Technicien forestier / Technicienne forestière;Technicien forestier / Technicienne forestière
20150;A1301;Technicien forestier / Technicienne forestière d'études et de recherche;Technicien(ne) forestier(ère) d'études et de recherche
20179;A1301;Technicien laitier / Technicienne laitière;Technicien laitier / Technicienne laitière
10401;A1302;Agent / Agente de collecte d'embryons;Agent / Agente de collecte d'embryons
10566;A1302;Agent / Agente de production laitière;Agent / Agente de production laitière
10754;A1302;Agent / Agente sanitaire apicole;Agent / Agente sanitaire apicole
10755;A1302;Agent / Agente sanitaire de l'agriculture;Agent / Agente sanitaire de l'agriculture
10759;A1302;Agent / Agente technique agricole;Agent / Agente technique agricole
